time_s,discharge_cms
0.0,0.0
10.0,33.33
20.0,66.67
30.0,100.0
40.0,133.33
50.0,166.67
60.0,200.0
70.0,233.33
80.0,266.67
90.0,300.0
100.0,333.33
110.0,366.67
120.0,400.0
130.0,433.33
140.0,466.67
150.0,500.0
160.0,533.33
170.0,566.67
180.0,600.0
190.0,633.33
200.0,666.67
210.0,700.0
220.0,733.33
230.0,766.67
240.0,800.0
250.0,833.33
260.0,866.67
270.0,900.0
280.0,933.33
290.0,966.67
300.0,1000.0
310.0,990.95
320.0,981.98
330.0,973.1
340.0,964.29
350.0,955.56
360.0,946.92
370.0,938.35
380.0,929.85
390.0,921.44
400.0,913.1
410.0,904.84
420.0,896.65
430.0,888.53
440.0,880.49
450.0,872.53
460.0,864.63
470.0,856.8
480.0,849.05
490.0,841.37
500.0,833.75
510.0,826.21
520.0,818.73
530.0,811.32
540.0,803.98
550.0,796.7
560.0,789.49
570.0,782.35
580.0,775.27
590.0,768.25
600.0,761.3
610.0,754.41
620.0,747.58
630.0,740.82
640.0,734.11
650.0,727.47
660.0,720.89
670.0,714.36
680.0,707.9
690.0,701.49
700.0,695.14
710.0,688.85
720.0,682.62
730.0,676.44
740.0,670.32
750.0,664.25
760.0,658.24
770.0,652.29
780.0,646.38
790.0,640.53
800.0,634.74
810.0,628.99
820.0,623.3
830.0,617.66
840.0,612.07
850.0,606.53
860.0,601.04
870.0,595.6
880.0,590.21
890.0,584.87
900.0,579.58
910.0,574.33
920.0,569.14
930.0,563.99
940.0,558.88
950.0,553.82
960.0,548.81
970.0,543.85
980.0,538.92
990.0,534.05
1000.0,529.21
1010.0,524.42
1020.0,519.68
1030.0,514.98
1040.0,510.31
1050.0,505.7
1060.0,501.12
1070.0,496.59
1080.0,492.09
1090.0,487.64
1100.0,483.23
1110.0,478.85
1120.0,474.52
1130.0,470.22
1140.0,465.97
1150.0,461.75
1160.0,457.57
1170.0,453.43
1180.0,449.33
1190.0,445.26
1200.0,441.23
1210.0,437.24
1220.0,433.28
1230.0,429.36
1240.0,425.48
1250.0,421.63
1260.0,417.81
1270.0,414.03
1280.0,410.28
1290.0,406.57
1300.0,402.89
1310.0,399.24
1320.0,395.63
1330.0,392.05
1340.0,388.5
1350.0,384.99
1360.0,381.5
1370.0,378.05
1380.0,374.63
1390.0,371.24
1400.0,367.88
1410.0,364.55
1420.0,361.25
1430.0,357.98
1440.0,354.74
1450.0,351.53
1460.0,348.35
1470.0,345.2
1480.0,342.07
1490.0,338.98
1500.0,335.91
1510.0,332.87
1520.0,329.86
1530.0,326.87
1540.0,323.92
1550.0,320.98
1560.0,318.08
1570.0,315.2
1580.0,312.35
1590.0,309.52
1600.0,306.72
1610.0,303.94
1620.0,301.19
1630.0,298.47
1640.0,295.77
1650.0,293.09
1660.0,290.44
1670.0,287.81
1680.0,285.21
1690.0,282.62
1700.0,280.07
1710.0,277.53
1720.0,275.02
1730.0,272.53
1740.0,270.07
1750.0,267.62
1760.0,265.2
1770.0,262.8
1780.0,260.42
1790.0,258.06
1800.0,255.73
1810.0,253.41
1820.0,251.12
1830.0,248.85
1840.0,246.6
1850.0,244.37
1860.0,242.15
1870.0,239.96
1880.0,237.79
1890.0,235.64
1900.0,233.51
1910.0,231.39
1920.0,229.3
1930.0,227.22
1940.0,225.17
1950.0,223.13
1960.0,221.11
1970.0,219.11
1980.0,217.13
1990.0,215.16
2000.0,213.21
2010.0,211.29
2020.0,209.37
2030.0,207.48
2040.0,205.6
2050.0,203.74
2060.0,201.9
2070.0,200.07
2080.0,198.26
2090.0,196.46
2100.0,194.69
2110.0,192.92
2120.0,191.18
2130.0,189.45
2140.0,187.73
2150.0,186.04
2160.0,184.35
2170.0,182.68
2180.0,181.03
2190.0,179.39
2200.0,177.77
2210.0,176.16
2220.0,174.57
2230.0,172.99
2240.0,171.42
2250.0,169.87
